TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,Connector,OU Subject,OU Course,OU Title,OUCredits,Gen. Ed.,Pass
ACCB,129,INTRODUCTION TO BOOKKEEPING,5,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,5,,
ACCB,229,QUICKBOOKS PRO ACCOUNTING,5,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,5,,
ACCT,201,PRIN OF ACCOUNTING,4,Lower Division Course,,ACCT,2113,FUNDMNTL FINANCIAL ACCOUNTING,3,,
ACCT,201,PRIN OF ACCOUNTING,4,Lower Division Course,AND,ACCT,1999,LOWER DIVISION TRANSFER CREDIT,1,,
ACCT,202,PRINC OF ACCT II,4,Lower Division Course,,ACCT,2123,FUNDMNTL MANAGERIAL ACCOUNTING,3,,
ACCT,202,PRINC OF ACCT II,4,Lower Division Course,AND,ACCT,1999,LOWER DIVISION TRANSFER CREDIT,1,,
AG,111,ART INSEMINATN OF C,2,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
AGRI,104,AGRICULTURE MANAGEMENT,4,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,4,,
ALLH,100,INTRO TO ALLIED HLTH,2,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,2,,
ALLH,101,MEDICAL TERMINOLOGY,2,Lower Division Course,,CL C,2413,MEDICAL VOCABULARY,2,,
ALLH,102,CERT NURSING ASSIS,6,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,6,,
ALLH,202,INTRODUCTION TO ALLIED HEALTH,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
ALLH,220,FUNDAMENTALS OF NUTRITION,3,LOWER DIVISION,,HES,2823,INTRODUCTORY NUTRITION,3,Gen Ed-Natural Science,
ANTH,102,CULT ANTH,3,LOWER DIVISION,,ANTH,2203,GLOBAL CULTURAL DIVERSITY,3,Gen Ed-World Culture,
ANTH,102,CULT ANTH,3,LOWER DIVISION,,ANTH,2203,GLOBAL CULTURAL DIVERSITY,3,Gen Ed-Non Western Culture,
ART,101,ART HISTORY,0,Lower Division Course,,A HI,2213,GLOBAL ART I,0,Gen Ed-Artistic Forms,
ART,102,ART HISTORY,3,Lower Division Course,,A HI,2223,GLOBAL ART  II,3,Gen Ed-Artistic Forms,
ART,106,DESIGN,3,Lower Division Course,,ART,1999,LOWER DIVISION TRANSFER CREDIT,3,,
ART,141,PHOTOGRAPHY DARKROOM,2,LOWER DIVISION,,ART,1999,LOWER DIVISION TRANSFER CREDIT,2,,
ARTS,101,ART HISTORY I,3,Lower Division Course,,A HI,1113,UNDERSTANDING ART,3,Gen Ed-Artistic Forms,
ARTS,109,DRAWING I,3,LOWER DIVISION,,ART,1999,LOWER DIVISION TRANSFER CREDIT,3,,
BA,215,INTRO/INFORMATN SCI,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
BA,265,LEGAL ENVIRONMENT,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
BAD,1001,PERSONAL COMPUTING PROD TOOLS,1,LOWER DIVISION,,B AD,1999,LOWER DIVISION TRANSFER CREDIT,1,,
BIO,120,MAN & ENVIRONMENT,4,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,4,,
BIO,202,ANIMAL BIOLOGY,4,Lower Division Course,,BIOL,1124,INTRO BIOL: MOLECULE/CELL/PHYS,4,Gen Ed-Natural Science w/lab,
BIOL,100,CONCEPTS OF BIOLOGY,4,Lower Division Course,,BIOL,1005,CONCEPTS IN BIOLOGY,4,Gen Ed-Natural Science w/lab,
BIOL,120,ENVIORN SCIENCE,4,Lower Division Course,,BIOL,2404,ECOLOGY/ENVIRONMENTAL QUALITY,4,Gen Ed-Natural Science w/lab,
BIOL,120L,ENVIRON SCI LAB,0,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,0,,
BIOL,127,HUM STRUCT/FUNC W/L,4,Lower Division Course,,BIOL,1999,LOWER DIVISION TRANSFER CREDIT,4,,
BIOL,199,SUSTAIN RESEARCH PROG,1,LOWER DIVISION,,BIOL,1999,LOWER DIVISION TRANSFER CREDIT,1,,
BIOL,201,BIOLOGY I,4,Lower Division Course,,BIOL,1005,CONCEPTS IN BIOLOGY,4,Gen Ed-Natural Science w/lab,
BIOL,202,BIOLOGY II,4,LOWER DIVISION,,BIOL,1999,LOWER DIVISION TRANSFER CREDIT,4,,
